acousticness;danceability;duration_ms;energy;explicit;liveness;loudness;mode;popularity;tempo;valence;year
0.0797;0.654;200787;0.76;0;0.299;-3.669;0;81;99.945;0.41;2015
0.109;0.73;192120;0.703;0;0.0657;-5.672;0;80;138.113;0.595;2015
0.0215;0.688;192191;0.702;0;0.128;-4.792;0;76;94.006;0.74;2015
0.0438;0.64;177973;0.681;0;0.166;-5.362;1;76;118.062;0.676;2015
0.0184;0.756;251467;0.674;1;0.158;-6.518;0;76;111.995;0.389;2015
0.694;0.657;189000;0.355;0;0.123;-12.044;1;76;74.99;0.0808;2015
0.0144;0.526;195200;0.862;0;0.229;-6.003;1;76;90.052;0.528;2015
0.59;0.845;205680;0.567;0;0.0811;-8.118;0;77;125.02;0.793;2015
0.701;0.311;208827;0.485;0;0.0726;-5.726;0;88;77.355;0.225;2016
0.0847;0.841;243837;0.728;1;0.149;-3.37;1;87;130.049;0.43;2016
0.0689;0.556;223347;0.538;1;0.196;-5.408;0;82;143.95;0.291;2016
0.695;0.358;211467;0.557;0;0.0902;-7.398;1;86;85.043;0.494;2016
0.167;0.743;326933;0.347;1;0.103;-11.174;1;82;160.143;0.572;2016
0.215;0.63;220293;0.804;1;0.253;-4.183;1;81;123.146;0.492;2016
0.787;0.412;257267;0.227;1;0.282;-12.696;1;79;80.111;0.226;2016
0.262;0.432;249587;0.652;0;0.258;-4.969;1;80;190.028;0.507;2016
0.245;0.639;216880;0.526;0;0.25;-6.697;1;79;130.033;0.488;2016
0.42;0.466;307151;0.548;1;0.113;-9.362;0;78;89.815;0.423;2016
0.782;0.567;249191;0.388;1;0.248;-9.579;0;79;116.362;0.452;2016
0.141;0.679;230453;0.587;1;0.137;-7.015;1;83;186.003;0.486;2016
0.414;0.748;244960;0.524;0;0.111;-5.599;1;84;95.01;0.661;2016
0.67;0.544;184516;0.552;0;0.415;-7.45;1;79;159.738;0.554;2016
0.931;0.421;177922;0.0952;0;0.126;-12.561;1;79;109.698;0.0773;2016
0.784;0.444;248808;0.0924;0;0.304;-15.605;1;77;108.917;0.219;2016
0.013;0.853;206693;0.56;0;0.0944;-4.961;1;81;134.066;0.86;2016
0.11;0.671;191600;0.314;1;0.0825;-8.091;0;79;110.898;0.296;2016
0.323;0.685;186467;0.61;0;0.102;-5.221;0;78;94.384;0.323;2016
0.233;0.675;256533;0.562;1;0.0816;-7.678;1;77;130.098;0.309;2016
0.228;0.665;179613;0.498;1;0.0757;-8.185;1;78;81.967;0.127;2016
0.118;0.724;135920;0.573;1;0.538;-4.113;1;76;113.088;0.438;2016
0.738;0.583;173560;0.572;0;0.266;-4.776;1;77;113.998;0.684;2016
0.0312;0.886;177184;0.427;1;0.0906;-10.028;1;77;108.034;0.23;2016
0.0841;0.732;195920;0.396;0;0.105;-9.348;0;81;90.024;0.548;2016
0.0905;0.707;270847;0.238;1;0.0842;-8.818;1;76;124.156;0.345;2016
0.687;0.492;251034;0.275;1;0.101;-13.4;0;80;92.6;0.18;2016
0.775;0.766;161985;0.548;1;0.1;-4.29;1;77;82.944;0.424;2016
0.227;0.811;134197;0.609;1;0.102;-8.376;1;77;120.071;0.439;2016
0.287;0.765;237300;0.473;0;0.391;-5.829;1;79;119.992;0.34;2016
0.0717;0.509;224000;0.637;1;0.0789;-4.83;0;80;172.006;0.378;2016
0.111;0.582;260253;0.525;0;0.134;-7.163;0;77;133.249;0.51;2016
0.0549;0.564;204013;0.714;0;0.155;-4.987;1;79;175.924;0.33;2016
0.034;0.818;225983;0.803;0;0.153;-4.282;1;78;106.97;0.632;2016
0.308;0.696;246880;0.543;0;0.0939;-6.164;1;78;107.969;0.479;2016
0.00776;0.792;173987;0.625;0;0.329;-5.609;1;80;103.967;0.37;2016
0.702;0.391;131272;0.396;0;0.315;-8.621;0;81;99.112;0.199;2016
0.656;0.407;175467;0.416;0;0.0981;-8.915;0;79;176.947;0.246;2016
0.378;0.728;181880;0.616;0;0.105;-4.238;1;76;99.962;0.508;2016
0.117;0.584;202747;0.7;1;0.0939;-4.275;1;78;124.944;0.438;2016
0.428;0.773;269187;0.819;0;0.0679;-5.946;0;79;92.987;0.585;2016
0.152;0.774;219147;0.753;1;0.0371;-5.446;0;78;119.002;0.896;2016
0.103;0.803;214480;0.585;0;0.0644;-5.861;1;78;105.017;0.593;2016
0.579;0.489;213707;0.505;0;0.104;-8.022;0;78;163.255;0.337;2016
0.255;0.502;243491;0.786;1;0.65;-4.378;0;76;169.021;0.739;2016
0.807;0.576;189613;0.307;0;0.0792;-12.732;0;76;67.513;0.157;2016
0.0863;0.649;205947;0.716;0;0.135;-5.371;1;81;99.988;0.163;2016
0.157;0.532;208373;0.869;0;0.136;-5.094;1;79;159.803;0.422;2016
0.00258;0.891;267067;0.628;0;0.0504;-7.863;1;76;134.966;0.552;2016
0.199;0.63;222160;0.928;0;0.148;-2.787;0;78;123.963;0.465;2016
0.469;0.872;119133;0.391;1;0.297;-9.144;0;87;134.021;0.437;2017
0.847;0.734;95467;0.57;1;0.112;-7.066;0;85;129.953;0.689;2017
0.109;0.773;220587;0.75;1;0.174;-4.009;0;82;123.426;0.783;2017
0.0172;0.797;146520;0.533;1;0.103;-9.74;0;83;131.036;0.329;2017
0.00264;0.732;182707;0.75;1;0.109;-6.366;0;83;155.096;0.401;2017
0.874;0.776;210285;0.503;1;0.112;-5.732;0;81;110.134;0.473;2017
0.112;0.795;275080;0.594;1;0.162;-6.2;1;80;135.002;0.409;2017
0.371;0.558;180387;0.559;1;0.109;-9.222;1;80;78.558;0.62;2017
0.149;0.88;172800;0.428;1;0.114;-8.28;1;81;100.007;0.333;2017
0.312;0.662;212120;0.714;0;0.179;-5.68;0;82;147.997;0.464;2017
0.000282;0.908;177000;0.621;1;0.0958;-6.638;0;82;150.011;0.421;2017
0.617;0.703;221747;0.757;1;0.106;-3.612;1;77;82.008;0.696;2017
0.264;0.8;213400;0.585;1;0.153;-7.343;1;78;126.058;0.779;2017
0.013;0.551;240760;0.801;0;0.265;-5.069;1;77;128.027;0.625;2017
0.131;0.692;231253;0.684;1;0.156;-7.364;1;78;112.912;0.406;2017
0.0622;0.776;204347;0.78;0;0.081;-4.374;0;87;124.949;0.666;2017
0.163;0.599;263400;0.448;0;0.106;-6.312;1;86;95.05;0.168;2017
0.422;0.658;278180;0.294;0;0.0749;-8.533;0;79;74.038;0.358;2017
0.259;0.763;126346;0.726;1;0.0976;-6.405;1;82;139.059;0.349;2017
0.199;0.798;202547;0.539;0;0.165;-6.351;1;80;136.949;0.394;2017
0.791;0;90228;0.00342;0;0.111;-28.46;1;84;0;0;2017
0.365;0.331;218755;0.45;0;0.22;-5.362;1;78;123.829;0.18;2017
0.821;0.739;146390;0.522;1;0.233;-12.304;0;78;138.263;0.619;2017
0.593;0.93;178352;0.611;0;0.0592;-4.406;1;79;112.127;0.695;2017
0.33;0.736;219080;0.449;0;0.0898;-11.462;0;79;80.126;0.326;2017
0.0153;0.464;222533;0.813;0;0.254;-6.185;1;76;75.977;0.515;2017
0.491;0.577;231400;0.523;1;0.147;-5.538;0;78;134.93;0.29;2017
0.469;0.618;198853;0.443;0;0.0829;-9.681;1;82;119.949;0.167;2017
0.0262;0.534;231547;0.583;1;0.421;-8.672;1;81;105.997;0.145;2017
0.395;0.575;262231;0.714;1;0.115;-5.247;1;79;144.982;0.32;2017
0.944;0;135484;0.0000203;0;0.112;-40.449;0;77;0;0;2017
0.256;0.52;180823;0.761;0;0.17;-3.093;1;82;141.971;0.286;2017
0.0509;0.743;203373;0.732;1;0.227;-4.511;1;79;123.994;0.339;2017
0.00671;0.605;187147;0.822;0;0.147;-4.833;1;83;167.997;0.288;2017
0.659;0.551;199387;0.386;0;0.125;-10.22;1;78;116.409;0.245;2017
0.923;0;147097;0.0000498;0;0.11;-32.354;0;78;0;0;2017
0.161;0.513;209213;0.661;0;0.246;-6.419;1;78;94.791;0.179;2017
0.0275;0.516;340707;0.595;0;0.109;-4.63;1;82;119.972;0.222;2017
0.225;0.83;228600;0.585;0;0.0576;-5.802;1;78;105.03;0.642;2017
0.242;0.4;272187;0.366;1;0.126;-9.405;0;76;73.313;0.161;2017
0.515;0.759;237507;0.245;1;0.102;-6.545;1;76;96.992;0.209;2017
0.0151;0.884;220307;0.346;1;0.0871;-8.228;0;79;75.016;0.376;2017
0.569;0.62;250173;0.574;1;0.19;-7.788;0;79;100.023;0.357;2017
0.816;0.511;200379;0.363;0;0.084;-7.65;0;81;144.892;0.169;2017
0.256;0.809;298941;0.463;1;0.109;-11.377;1;79;111.98;0.364;2017
0.843;0.433;87561;0.778;1;0.139;-7.681;1;77;114.208;0.764;2017
0.00454;0.638;185947;0.523;1;0.0842;-6.664;1;77;139.913;0.422;2017
0.00522;0.745;212027;0.593;1;0.123;-6.35;1;76;111.002;0.17;2017
0.865;0.817;123884;0.551;0;0.101;-9.33;0;76;109.966;0.142;2017
0.646;0.384;252231;0.765;1;0.522;-4.463;1;77;129.903;0.567;2017
0.737;0.483;203569;0.412;0;0.116;-8.461;1;80;170.163;0.247;2017
0.581;0.825;233713;0.652;0;0.0931;-3.183;0;85;95.977;0.931;2017
0.0102;0.833;204600;0.434;1;0.165;-8.795;1;80;150.062;0.281;2017
0.217;0.756;155720;0.609;1;0.096;-7.927;1;77;117.023;0.537;2017
0.0306;0.747;213132;0.524;1;0.2;-6.807;0;76;140.053;0.363;2017
0.047;0.643;163870;0.783;0;0.083;-6.458;1;77;154.084;0.579;2017
0.536;0.522;207520;0.385;0;0.135;-7.355;1;82;89.792;0.236;2017
0.743;0.516;124000;0.358;0;0.0813;-12.018;0;76;79.509;0.397;2017
0.0498;0.617;247160;0.635;0;0.164;-6.769;0;82;103.019;0.446;2017
0.495;0.775;171806;0.573;0;0.126;-4.933;1;77;101.925;0.667;2017
0.0237;0.705;203760;0.64;1;0.262;-6.928;0;78;144.077;0.887;2017
0.0293;0.726;233902;0.769;1;0.104;-5.043;1;80;97.985;0.733;2017
0.808;0.524;209831;0.364;0;0.1;-10.209;1;78;75.24;0.436;2017
0.768;0.735;129720;0.197;1;0.296;-13.378;0;77;147.899;0.383;2017
0.795;0.473;209400;0.371;0;0.109;-10.219;0;77;75.208;0.413;2017
0.723;0.705;208026;0.373;0;0.289;-9.066;1;78;120.046;0.551;2017
0.746;0.427;224867;0.262;0;0.068;-8.541;1;78;104.085;0.228;2017
0.0417;0.801;163253;0.795;0;0.0717;-5.115;0;78;79.028;0.754;2017
0.782;0.746;120027;0.251;1;0.106;-16.169;0;77;139.999;0.18;2017
0.00568;0.468;219800;0.936;0;0.24;-3.683;1;79;75.05;0.663;2017
0.00064;0.375;176387;0.93;0;0.318;-2.631;1;79;147.124;0.491;2017
0.0337;0.664;174800;0.708;0;0.0841;-4.154;1;78;103.07;0.742;2017
